child_ancestry,mother_ancestry,father_ancestry,pregnancy_over_37w,plural_birth,adhd,pheno,ageI,sex,quantile,value
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,1,46
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,2,47
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,3,47
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,4,48
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,5,48
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,6,48
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,7,48
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,8,48
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,9,49
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,10,49
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,11,49
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,12,49
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,13,49
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,14,49
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,15,49
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,16,49
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,17,49
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,18,49
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,19,49
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,20,50
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,21,50
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,22,50
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,23,50
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,24,50
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,25,50
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,26,50
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,27,50
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,28,50
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,29,50
Norwegian,Norwegian,Norwegian,1,0,0,length,0,1,30,50
